學年度,代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址,體系別
103,0001,國立政治大學,公立,[38]臺北市,[116]臺北市文山區指南路二段64號,(02)29393091,http://www.nccu.edu.tw,[1]一般
103,0002,國立清華大學,公立,[18]新竹市,[300]新竹市東區光復路二段101號,(03)5715131,http://www.nthu.edu.tw,[1]一般
103,0003,國立臺灣大學,公立,[33]臺北市,[106]臺北市大安區羅斯福路四段1號,(02)33663366,http://www.ntu.edu.tw,[1]一般
103,0004,國立臺灣師範大學,公立,[33]臺北市,[106]臺北市大安區和平東路一段162號,(02)77341111,http://www.ntnu.edu.tw,[3]師範
103,0005,國立成功大學,公立,[21]臺南市,[701]臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw,[1]一般
103,0006,國立中興大學,公立,[19]臺中市,[402]臺中市南區國光路250號,(04)22873181,http://www.nchu.edu.tw,[1]一般
103,0007,國立交通大學,公立,[18]新竹市,[300]新竹市東區大學路1001號,(03)5712121,http://www.nctu.edu.tw,[1]一般
103,0008,國立中央大學,公立,[03]桃園市,[320]桃園市中壢區中大路300號,(03)4227151,http://www.ncu.edu.tw,[1]一般
103,0009,國立中山大學,公立,[52]高雄市,[804]高雄市鼓山區蓮海路70號,(07)5252000,http://www.nsysu.edu.tw,[1]一般
103,0012,國立臺灣海洋大學,公立,[17]基隆市,[202]基隆市中正區北寧路2號,(02)24622192,http://www.ntou.edu.tw,[1]一般
103,0013,國立中正大學,公立,[10]嘉義縣,[621]嘉義縣民雄鄉三興村7鄰大學路一段168號,(05)2720411,http://www.ccu.edu.tw,[1]一般
103,0014,國立高雄師範大學,公立,[58]高雄市,[802]高雄市苓雅區和平一路116號,(07)7172930,http://www.nknu.edu.tw,[3]師範
103,0015,國立彰化師範大學,公立,[07]彰化縣,[500]彰化縣彰化市進德路1號,(04)7232105,http://www.ncue.edu.tw,[3]師範
103,0016,國立陽明大學,公立,[42]臺北市,[112]臺北市北投區立農街二段155號,(02)28267000,http://www.ym.edu.tw,[1]一般
103,0017,國立臺北大學,公立,[01]新北市,[237]新北市三峽區大學路151號,(02)86741111,http://www.ntpu.edu.tw/chinese/,[1]一般
103,0018,國立嘉義大學,公立,[20]嘉義市,[600]嘉義市東區鹿寮里學府路300號,(05)2717000,http://www.ncyu.edu.tw,[1]一般
103,0019,國立高雄大學,公立,[54]高雄市,[811]高雄市楠梓區高雄大學路700號,(07)5919000,http://www.nuk.edu.tw,[1]一般
103,0020,國立東華大學,公立,[15]花蓮縣,[974]花蓮縣壽豐鄉志學村大學路二段1號,(03)8635000,http://www.ndhu.edu.tw,[1]一般
103,0021,國立暨南國際大學,公立,[08]南投縣,[545]南投縣埔里鎮大學路1號,(049)2910960#2996,http://www.ncnu.edu.tw,[1]一般
103,0022,國立臺灣科技大學,公立,[33]臺北市,[106]臺北市大安區基隆路四段43號,(02)27333141,http://www.ntust.edu.tw,[2]技職
103,0023,國立雲林科技大學,公立,[09]雲林縣,[640]雲林縣斗六市大學路三段123號,(05)5342601,http://www.yuntech.edu.tw,[2]技職
103,0024,國立屏東科技大學,公立,[13]屏東縣,[912]屏東縣內埔鄉老埤村學府路1號,(08)7703202,http://www.npust.edu.tw,[2]技職
103,0025,國立臺北科技大學,公立,[33]臺北市,[106]臺北市大安區忠孝東路三段1號,(02)27712171,http://www.ntut.edu.tw,[2]技職
103,0026,國立高雄第一科技大學,公立,[12]高雄市,[824]高雄市燕巢區大學路1號 ,(07)6011000,http://www.nkfust.edu.tw,[2]技職
103,0027,國立高雄應用科技大學,公立,[55]高雄市,[807]高雄市三民區建工路415號,(07)3814526,http://www.kuas.edu.tw,[2]技職
103,0028,國立臺北藝術大學,公立,[42]臺北市,[112]臺北市北投區學園路1號,(02)28961000,http://www.tnua.edu.tw,[1]一般
103,0029,國立臺灣藝術大學,公立,[01]新北市,[220]新北市板橋區大觀路一段59號,(02)22722181,http://www.ntua.edu.tw,[1]一般
103,0030,國立臺東大學,公立,[14]臺東縣,[950]臺東縣臺東市大學路二段369號,(089)318855,http://www.nttu.edu.tw,[1]一般
103,0031,國立宜蘭大學,公立,[02]宜蘭縣,[260]宜蘭縣宜蘭市神農路一段1號,(03)9357400,http://www.niu.edu.tw,[1]一般
103,0032,國立聯合大學,公立,[05]苗栗縣,[360]苗栗縣苗栗市恭敬里聯大1號,(037)381000,http://www.nuu.edu.tw,[1]一般
103,0033,國立虎尾科技大學,公立,[09]雲林縣,[632]雲林縣虎尾鎮文化路64號,(05)6315000,http://www.nfu.edu.tw/main.php,[2]技職
103,0034,國立高雄海洋科技大學,公立,[54]高雄市,[811]高雄市楠梓區海專路142號,(07)3617141,http://www.nkmu.edu.tw,[2]技職
103,0035,國立臺南藝術大學,公立,[11]臺南市,[720]臺南市官田區大崎里66號,(06)6930100,http://www.tnnua.edu.tw,[1]一般
103,0036,國立臺南大學,公立,[21]臺南市,[700]臺南市中西區樹林街二段33號,(06)2133111,http://web.nutn.edu.tw/,[1]一般
103,0037,國立臺北教育大學,公立,[33]臺北市,[106]臺北市大安區和平東路二段134號,(02)27321104,http://www.ntue.edu.tw/,[3]師範
103,0038,國立新竹教育大學,公立,[18]新竹市,[300]新竹市東區南大路521號,(03)5213132,http://www.nhcue.edu.tw/,[3]師範
103,0039,國立臺中教育大學,公立,[19]臺中市,[403]臺中市西區民生路140號,(04)22183199,http://www.ntcu.edu.tw,[3]師範
103,0042,國立澎湖科技大學,公立,[16]澎湖縣,[880]澎湖縣馬公市六合路300號,(06)9264115,http://www.npu.edu.tw,[2]技職
103,0043,國立勤益科技大學,公立,[06]臺中市,[411]臺中市太平區坪林里中山路二段57號,(04)23924505,http://www.ncut.edu.tw,[2]技職
103,0044,國立體育大學,公立,[03]桃園市,[333]桃園市龜山區文化一路250號,(03)3283201,http://www.ntsu.edu.tw,[1]一般
103,0046,國立臺北護理健康大學,公立,[42]臺北市,[112]臺北市北投區明德路365號,(02)28227101,http://www.ntunhs.edu.tw/bin/home.php,[2]技職
103,0047,國立高雄餐旅大學,公立,[61]高雄市,[812]高雄市小港區松和路1號,(07)8060505,http://www.nkuht.edu.tw,[2]技職
103,0048,國立金門大學,公立,[71]金門縣,[892]金門縣金寧鄉大學路1號,(082)313300,http://www.nqu.edu.tw/cht/index.php,[1]一般
103,0049,國立臺灣體育運動大學,公立,[19]臺中市,[404]臺中市北區雙十路一段16號,(04)22213108,http://www.ntupes.edu.tw,[1]一般
103,0050,國立臺中科技大學,公立,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,[2]技職
103,0051,國立臺北商業大學,公立,[35]臺北市,[100]臺北市中正區濟南路一段321號,(02)23935263,http://www.ntcb.edu.tw,[2]技職
