"ID","Module","Feature (EN)","功能 (中文)","Description","Role","Phase","MVP In-Scope","Priority","Notes / Acceptance","Est Hours","Target Month"
"A-01","Accounts & Onboarding","Role-based login","角色登入","Email/password login and session handling for admin, recruiter, and applicant roles.","Student / Recruiter / Admin","P1","Yes","P0","Users can access the correct dashboard and protected routes based on role.","24","M1"
"A-02","Accounts & Onboarding","Email verification code signup","Email 驗證碼註冊","Send and verify one-time codes for account signup and email ownership checks.","Student / Recruiter","P1","Yes","P0","Verification codes expire, track failed attempts, and gate account creation.","20","M1"
"A-03","Accounts & Onboarding","Password reset flow","忘記密碼與重設","Allow users to request a reset code and set a new password securely.","Student / Recruiter / Admin","P1","Yes","P0","Uses CSPRNG reset codes, expiry, and failed-attempt limits.","20","M1"
"A-04","Accounts & Onboarding","Recruiter signup approval","招募方註冊審核","Restrict recruiter registration by allowed domains or exact approved emails.","Recruiter / Admin","P1","Yes","P0","Unauthorized recruiter emails cannot create recruiter access without approval.","28","M1"
"A-05","Accounts & Onboarding","First-visit locale detection","首次造訪語言偵測","Detect browser language and persist student/recruiter locale preference.","Student / Recruiter / Public visitor","P1","Yes","P1","Supports English, Vietnamese, and Traditional Chinese with manual override.","16","M1"
"A-06","Accounts & Onboarding","Onboarding mode setting","註冊資料完整度模式","Let admin choose lighter or fuller applicant onboarding data collection.","Admin / Student","P1","Yes","P1","Admin setting changes required student profile fields without code changes.","20","M2"
"B-01","Student Profile","Student profile form","學生個人資料表單","Collect student name, contact, nationality, school, major, study level, graduation, skills, preferences, links, and profile description.","Student","P1","Yes","P0","Profile saves structured applicant data used for bookings and recruiter review.","40","M1"
"B-02","Student Profile","Taiwan school lookup","台灣學校查詢","Use a bilingual Taiwan school dataset to normalize school names and codes.","Student / System","P1","Yes","P1","Signup reads school records from the database rather than local CSV at runtime.","24","M1"
"B-03","Student Profile","Work experience and certifications","工作經驗與證照","Capture structured work experience and certification entries in the applicant profile.","Student / Recruiter","P1","Yes","P1","Entries display in profile/CV surfaces and remain editable by the student.","24","M2"
"B-04","Student Profile","Profile completion meter","資料完整度提示","Show profile completion progress and highlight missing profile data.","Student","P1","Yes","P1","Profile page gives immediate feedback on readiness for recruiter review.","12","M2"
"B-05","Student Profile","CV link storage","履歷連結儲存","Store a Google Drive or external CV link instead of uploading heavy resume files to the platform.","Student / Recruiter","P1","Yes","P0","CV links are available to the recruiter only through booking or allowed visibility contexts.","16","M1"
"B-06","Student Profile","CV QR code","履歷 QR Code","Generate a QR code for the student's CV link on the profile page.","Student","P1","Yes","P1","QR code appears compactly beside CV link actions.","12","M2"
"B-07","Student Profile","Generated CV preview/export","平台履歷預覽與匯出","Generate a polished printable CV from profile data with tecxwork branding.","Student","P1","Yes","P1","Browser print/Save as PDF output preserves layout and wordmark styling.","36","M2"
"B-08","Student Profile","Avatar upload","頭像上傳","Let applicants upload or update a profile avatar.","Student","P1","Yes","P2","Avatar is stored via blob upload and shown on profile surfaces where available.","16","M2"
"B-09","Student Profile","LinkedIn import/autofill","LinkedIn 匯入與自動填寫","Allow students to paste or upload LinkedIn-derived profile data for CV field autofill.","Student","P2","No","P2","Use student-provided export/text rather than restricted official LinkedIn APIs.","60","P2"
"C-01","Public Discovery","Public homepage","公開首頁","Landing page for the event with hero, event copy, recruiter highlights, job highlights, countdown, and CTAs.","Public visitor / Student","P1","Yes","P0","Unauthenticated users can understand the event and navigate to companies/jobs.","40","M1"
"C-02","Public Discovery","Localized hero carousel","多語系首頁輪播","Display localized homepage hero imagery with touch/autoplay behavior.","Public visitor / Admin","P1","Yes","P1","Admin can upload one hero image per supported language; visitor sees locale-specific image.","36","M1"
"C-03","Public Discovery","Hero overlay toggle","首頁覆蓋文字開關","Allow admin to hide or show title/countdown/CTA overlay on the homepage hero.","Admin / Public visitor","P1","Yes","P2","When disabled, the homepage can act as a clean photo carousel.","10","M2"
"C-04","Public Discovery","Recruiter directory","公司目錄","Browse companies/recruiters participating in the career fair.","Public visitor / Student","P1","Yes","P0","Directory cards show company logo, industry, positions, and available job signal.","36","M1"
"C-05","Public Discovery","Industry filters","產業篩選","Filter recruiter directory by industry or preferred sector.","Public visitor / Student","P1","Yes","P1","Includes expanded industry options such as Construction, Education, Hospitality, Logistics, and more.","18","M1"
"C-06","Public Discovery","Company detail page","公司介紹頁","Show recruiter profile, description, website, gallery, jobs, and booking/apply entry points.","Public visitor / Student","P1","Yes","P0","Company identity links from job cards route to the company page.","36","M1"
"C-07","Public Discovery","Company gallery viewer","公司照片瀏覽器","Open recruiter gallery photos in a full-screen viewer with swipe and previous/next controls.","Student / Public visitor","P1","Yes","P2","Viewer uses object-contain layout so full photos remain visible.","24","M2"
"C-08","Public Discovery","Public jobs listing","公開職缺列表","Browse approved recruiter-posted job openings.","Public visitor / Student","P1","Yes","P0","Jobs page lists public openings with search, company, category, salary, location, and apply routing.","40","M1"
"C-09","Public Discovery","Job search","職缺搜尋","Search jobs by title, company, or location.","Public visitor / Student","P1","Yes","P1","Search narrows the public job directory without requiring login.","18","M1"
"C-10","Public Discovery","Job category filters","職缺類別篩選","Filter jobs by broad categories: Business/general, Tech/Engineering, and Service/Hospitality.","Public visitor / Student / Admin","P1","Yes","P1","Admin assigns categories during job review; category pages are shareable.","28","M2"
"C-11","Public Discovery","Shareable category pages","可分享職缺類別頁","Provide `/jobs/cat/<slug>` landing pages for category-specific job lists.","Public visitor / Student","P1","Yes","P2","Invalid category slugs return not found; valid pages reuse the shared job listing component.","16","M2"
"C-12","Public Discovery","Job detail apply page","職缺詳情與應徵頁","Open a dedicated job detail page where the primary intent is applying to that job.","Student / Public visitor","P1","Yes","P0","Job title/card opens job apply; company logo/name opens the company page.","36","M1"
"D-01","Booking & Interviews","Applicant books recruiter mode","學生預約招募方面談","Let students request interview times with recruiters for selected jobs.","Student / Recruiter","P1","Yes","P0","Student chooses available slot, consents to data sharing, and creates a pending booking.","48","M1"
"D-02","Booking & Interviews","Recruiter books applicant mode","招募方預約學生","Let recruiters browse applicants and request interviews with students.","Recruiter / Student","P1","Yes","P0","Enabled only when event mode permits recruiter-driven booking.","48","M1"
"D-03","Booking & Interviews","Bidirectional event mode","雙向預約模式","Support applicant-to-recruiter, recruiter-to-applicant, or both booking directions.","Admin / Student / Recruiter","P1","Yes","P0","Admin can configure event mode; UI hides unavailable flows.","32","M1"
